repo,issue,decision_exists,decision_summary,evidence_types,alternatives,disagreement,recoverable,observation_note
bids-standard/pybids,451,NO,,NONE,NONE,NONE,NONE,Read first 20 comments only. Bug fix discussion.
bids-standard/pybids,369,YES,Drop grabbit dependency and port functionality directly into pybids.,USER_REPORT,YES,YES,YES,Read first 20 comments. Explicit decision to remove grabbit.
bids-standard/pybids,395,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,36,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,122,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,487,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,555,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,426,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,361,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,299,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,954,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,489,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,285,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,324,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,99,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,649,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,918,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,378,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,411,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,520,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,284,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,247,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,432,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,272,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,211,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,672,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,490,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,1013,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
bids-standard/pybids,548,,,,,,,Human observation required — full discussion not read. Requires full-thread reading to classify Q1-Q6.
